Date,Open,High,Low,Close
2022-01-04,2015.61,2031.65,2005.45,2030.22
2022-01-05,2038.79,2042.0,2033.28,2039.27
2022-01-06,2028.22,2030.63,1997.01,1997.01
2022-01-07,2009.3,2017.1,1981.52,1995.68
