Date,Code,Open,High,Low,Close,UpperLimit,LowerLimit,Volume,TurnoverValue,AdjustmentFactor,AdjustmentOpen,AdjustmentHigh,AdjustmentLow,AdjustmentClose,AdjustmentVolume,MorningOpen,MorningHigh,MorningLow,MorningClose,MorningUpperLimit,MorningLowerLimit,MorningVolume,MorningTurnoverValue,MorningAdjustmentOpen,MorningAdjustmentHigh,MorningAdjustmentLow,MorningAdjustmentClose,MorningAdjustmentVolume,AfternoonOpen,AfternoonHigh,AfternoonLow,AfternoonClose,AfternoonUpperLimit,AfternoonLowerLimit,AfternoonVolume,AfternoonTurnoverValue,AfternoonAdjustmentOpen,AfternoonAdjustmentHigh,AfternoonAdjustmentLow,AfternoonAdjustmentClose,AfternoonAdjustmentVolume
2022-01-04,86970,2533.0,2544.5,2502.0,2518.5,0,0,612200.0,1541252900.0,1.0,2533.0,2544.5,2502.0,2518.5,612200.0,2533.0,2544.5,2502.0,2509.5,0,0,170700.0,429960800.0,2533.0,2544.5,2502.0,2509.5,170700.0,2514.5,2522.5,2510.5,2518.5,0,0,441500.0,1111292100.0,2514.5,2522.5,2510.5,2518.5,441500.0
2022-01-05,86970,2524.0,2542.0,2502.5,2534.5,0,0,738700.0,1867586050.0,1.0,2524.0,2542.0,2502.5,2534.5,738700.0,2524.0,2535.5,2502.5,2521.0,0,0,270800.0,682186200.0,2524.0,2535.5,2502.5,2521.0,270800.0,2525.5,2542.0,2520.0,2534.5,0,0,467900.0,1185399850.0,2525.5,2542.0,2520.0,2534.5,467900.0
2022-01-06,86970,2500.0,2518.5,2475.0,2475.0,0,0,1304400.0,3245719700.0,1.0,2500.0,2518.5,2475.0,2475.0,1304400.0,2500.0,2518.5,2479.5,2482.5,0,0,500100.0,1251399600.0,2500.0,2518.5,2479.5,2482.5,500100.0,2480.5,2501.0,2475.0,2475.0,0,0,804300.0,1994320100.0,2480.5,2501.0,2475.0,2475.0,804300.0
2022-01-07,86970,2487.0,2514.5,2463.5,2482.0,0,0,855600.0,2125150000.0,1.0,2487.0,2514.5,2463.5,2482.0,855600.0,2487.0,2514.5,2463.5,2472.5,0,0,252600.0,629716150.0,2487.0,2514.5,2463.5,2472.5,252600.0,2472.5,2486.0,2469.5,2482.0,0,0,603000.0,1495433850.0,2472.5,2486.0,2469.5,2482.0,603000.0
