DisclosedDate,DisclosedTime,LocalCode,DisclosureNumber,TypeOfDocument,TypeOfCurrentPeriod,CurrentPeriodStartDate,CurrentPeriodEndDate,CurrentFiscalYearStartDate,CurrentFiscalYearEndDate,NextFiscalYearStartDate,NextFiscalYearEndDate,NetSales,OperatingProfit,OrdinaryProfit,Profit,EarningsPerShare,DilutedEarningsPerShare,TotalAssets,Equity,EquityToAssetRatio,BookValuePerShare,CashFlowsFromOperatingActivities,CashFlowsFromInvestingActivities,CashFlowsFromFinancingActivities,CashAndEquivalents,ResultDividendPerShare1stQuarter,ResultDividendPerShare2ndQuarter,ResultDividendPerShare3rdQuarter,ResultDividendPerShareFiscalYearEnd,ResultDividendPerShareAnnual,DistributionsPerUnit(REIT),ResultTotalDividendPaidAnnual,ResultPayoutRatioAnnual,ForecastDividendPerShare1stQuarter,ForecastDividendPerShare2ndQuarter,ForecastDividendPerShare3rdQuarter,ForecastDividendPerShareFiscalYearEnd,ForecastDividendPerShareAnnual,ForecastDistributionsPerUnit(REIT),ForecastTotalDividendPaidAnnual,ForecastPayoutRatioAnnual,NextYearForecastDividendPerShare1stQuarter,NextYearForecastDividendPerShare2ndQuarter,NextYearForecastDividendPerShare3rdQuarter,NextYearForecastDividendPerShareFiscalYearEnd,NextYearForecastDividendPerShareAnnual,NextYearForecastDistributionsPerUnit(REIT),NextYearForecastPayoutRatioAnnual,ForecastNetSales2ndQuarter,ForecastOperatingProfit2ndQuarter,ForecastOrdinaryProfit2ndQuarter,ForecastProfit2ndQuarter,ForecastEarningsPerShare2ndQuarter,NextYearForecastNetSales2ndQuarter,NextYearForecastOperatingProfit2ndQuarter,NextYearForecastOrdinaryProfit2ndQuarter,NextYearForecastProfit2ndQuarter,NextYearForecastEarningsPerShare2ndQuarter,ForecastNetSales,ForecastOperatingProfit,ForecastOrdinaryProfit,ForecastProfit,ForecastEarningsPerShare,NextYearForecastNetSales,NextYearForecastOperatingProfit,NextYearForecastOrdinaryProfit,NextYearForecastProfit,NextYearForecastEarningsPerShare,MaterialChangesInSubsidiaries,SignificantChangesInTheScopeOfConsolidation,ChangesBasedOnRevisionsOfAccountingStandard,ChangesOtherThanOnesBasedOnRevisionsOfAccountingStandard,ChangesInAccountingEstimates,RetrospectiveRestatement,NumberOfIssuedAndOutstandingSharesAtTheEndOfFiscalYearIncludingTreasuryStock,NumberOfTreasuryStockAtTheEndOfFiscalYear,AverageNumberOfShares,NonConsolidatedNetSales,NonConsolidatedOperatingProfit,NonConsolidatedOrdinaryProfit,NonConsolidatedProfit,NonConsolidatedEarningsPerShare,NonConsolidatedTotalAssets,NonConsolidatedEquity,NonConsolidatedEquityToAssetRatio,NonConsolidatedBookValuePerShare,ForecastNonConsolidatedNetSales2ndQuarter,ForecastNonConsolidatedOperatingProfit2ndQuarter,ForecastNonConsolidatedOrdinaryProfit2ndQuarter,ForecastNonConsolidatedProfit2ndQuarter,ForecastNonConsolidatedEarningsPerShare2ndQuarter,NextYearForecastNonConsolidatedNetSales2ndQuarter,NextYearForecastNonConsolidatedOperatingProfit2ndQuarter,NextYearForecastNonConsolidatedOrdinaryProfit2ndQuarter,NextYearForecastNonConsolidatedProfit2ndQuarter,NextYearForecastNonConsolidatedEarningsPerShare2ndQuarter,ForecastNonConsolidatedNetSales,ForecastNonConsolidatedOperatingProfit,ForecastNonConsolidatedOrdinaryProfit,ForecastNonConsolidatedProfit,ForecastNonConsolidatedEarningsPerShare,NextYearForecastNonConsolidatedNetSales,NextYearForecastNonConsolidatedOperatingProfit,NextYearForecastNonConsolidatedOrdinaryProfit,NextYearForecastNonConsolidatedProfit,NextYearForecastNonConsolidatedEarningsPerShare
2022/1/27,12:00:00,86970,2.02201E+13,3QFinancialStatements_Consolidated_IFRS,3Q,2021/4/1,2021/12/31,2021/4/1,2022/3/31,,,1.00586E+11,55967000000,,38013000000,71.71,,6.20765E+13,3.11381E+11,0.005,,,,,73158000000,,26,,,,,,,,,,27,53,,,,,,,,,,,,,,,,,,,,,1.31E+11,67500000000,,46000000000,86.88,,,,,,FALSE,,FALSE,FALSE,FALSE,,536351448,8822727,530119112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/3/22,12:00:00,86970,2.02203E+13,EarnForecastRevision,FY,2021/4/1,2022/3/31,2021/4/1,2022/3/31,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,72,,,,,,,,,,,,,,,,,,,,,1.355E+11,73500000000,,50000000000,94.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/4/26,12:00:00,86970,2.02204E+13,FYFinancialStatements_Consolidated_IFRS,FY,2021/4/1,2022/3/31,2021/4/1,2022/3/31,2022/4/1,2023/3/31,1.35432E+11,73473000000,,49955000000,94.35,,7.14634E+13,3.23852E+11,0.004,598.35,58191000000,-13299000000,-59747000000,93354000000,,26,,46,72,,38057000000,0.763,,,,,,,,,,26,,26,52,,0.61,,,,,,,,,,,,,,,,1.325E+11,65500000000,,45000000000,85.3,FALSE,,FALSE,FALSE,FALSE,,528578441,1037782,529487172,52727000000,46339000000,46451000000,43365000000,81.9,2.33153E+11,1.21796E+11,0.522,230.88,,,,,,,,,,,,,,,,,,,,
2022/7/27,12:00:00,86970,2.02207E+13,1QFinancialStatements_Consolidated_IFRS,1Q,2022/4/1,2022/6/30,2022/4/1,2023/3/31,,,33576000000,17777000000,,12089000000,22.93,,7.60482E+13,3.10098E+11,0.004,,,,,80470000000,,,,,,,,,,26,,26,52,,,,,,,,,,,,,,,,,,,,,1.325E+11,65500000000,,45000000000,85.42,,,,,,FALSE,,FALSE,FALSE,FALSE,,528578441,1938843,527204054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/10/27,12:00:00,86970,2.0221E+13,2QFinancialStatements_Consolidated_IFRS,2Q,2022/4/1,2022/9/30,2022/4/1,2023/3/31,,,66486000000,34127000000,,23189000000,44.01,,7.84654E+13,3.21568E+11,0.004,,,,,1.00127E+11,,26,,,,,,,,,,26,52,,,,,,,,,,,,,,,,,,,,,1.325E+11,65500000000,,45000000000,85.42,,,,,,FALSE,,FALSE,FALSE,TRUE,,528578441,1861043,526953869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
