PublishedDate,StartDate,EndDate,Section,ProprietarySales,ProprietaryPurchases,ProprietaryTotal,ProprietaryBalance,BrokerageSales,BrokeragePurchases,BrokerageTotal,BrokerageBalance,TotalSales,TotalPurchases,TotalTotal,TotalBalance,IndividualsSales,IndividualsPurchases,IndividualsTotal,IndividualsBalance,ForeignersSales,ForeignersPurchases,ForeignersTotal,ForeignersBalance,SecuritiesCosSales,SecuritiesCosPurchases,SecuritiesCosTotal,SecuritiesCosBalance,InvestmentTrustsSales,InvestmentTrustsPurchases,InvestmentTrustsTotal,InvestmentTrustsBalance,BusinessCosSales,BusinessCosPurchases,BusinessCosTotal,BusinessCosBalance,OtherCosSales,OtherCosPurchases,OtherCosTotal,OtherCosBalance,InsuranceCosSales,InsuranceCosPurchases,InsuranceCosTotal,InsuranceCosBalance,CityBKsRegionalBKsEtcSales,CityBKsRegionalBKsEtcPurchases,CityBKsRegionalBKsEtcTotal,CityBKsRegionalBKsEtcBalance,TrustBanksSales,TrustBanksPurchases,TrustBanksTotal,TrustBanksBalance,OtherFinancialInstitutionsSales,OtherFinancialInstitutionsPurchases,OtherFinancialInstitutionsTotal,OtherFinancialInstitutionsBalance
2022-01-07,2021-12-27,2021-12-30,TokyoNagoya,1176836198.0,1287138080.0,2463974278.0,110301882.0,8471454226.0,8371990880.0,16843445106.0,-99463346.0,9648290424.0,9659128960.0,19307419384.0,10838536.0,2816188843.0,2698712848.0,5514901691.0,-117475995.0,5052817957.0,5155056161.0,10207874118.0,102238204.0,89735754.0,82025520.0,171761274.0,-7710234.0,177345348.0,147887989.0,325233337.0,-29457359.0,78428422.0,68309672.0,146738094.0,-10118750.0,30550379.0,50281121.0,80831500.0,19730742.0,12466187.0,9175318.0,21641505.0,-3290869.0,15024667.0,4946199.0,19970866.0,-10078468.0,192633751.0,147062408.0,339696159.0,-45571343.0,6262918.0,8533644.0,14796562.0,2270726.0
2022-01-07,2021-12-27,2021-12-30,TSEJASDAQ,14877251.0,10675725.0,25552976.0,-4201526.0,281090203.0,285561562.0,566651765.0,4471359.0,295967454.0,296237287.0,592204741.0,269833.0,150089565.0,153216265.0,303305830.0,3126700.0,118474086.0,120460566.0,238934652.0,1986480.0,5535099.0,5104897.0,10639996.0,-430202.0,1585062.0,1995540.0,3580602.0,410478.0,3270770.0,2606245.0,5877015.0,-664525.0,465923.0,1114396.0,1580319.0,648473.0,26637.0,1664.0,28301.0,-24973.0,120824.0,47100.0,167924.0,-73724.0,1514218.0,957486.0,2471704.0,-556732.0,8019.0,57403.0,65422.0,49384.0
2022-01-07,2021-12-27,2021-12-30,TSE2nd,3684179.0,4088390.0,7772569.0,404211.0,164019732.0,163937997.0,327957729.0,-81735.0,167703911.0,168026387.0,335730298.0,322476.0,112897008.0,110811039.0,223708047.0,-2085969.0,43194823.0,45028003.0,88222826.0,1833180.0,4282953.0,4148958.0,8431911.0,-133995.0,461592.0,563262.0,1024854.0,101670.0,1994652.0,2049113.0,4043765.0,54461.0,413126.0,609029.0,1022155.0,195903.0,27557.0,0.0,27557.0,-27557.0,31170.0,0.0,31170.0,-31170.0,649915.0,633518.0,1283433.0,-16397.0,66936.0,95075.0,162011.0,28139.0
2022-01-07,2021-12-27,2021-12-30,TSE1st,1137348978.0,1253676889.0,2391025867.0,116327911.0,7339521233.0,7232616882.0,14572138115.0,-106904351.0,8476870211.0,8486293771.0,16963163982.0,9423560.0,2111943776.0,1988931204.0,4100874980.0,-123012572.0,4674207437.0,4776024988.0,9450232425.0,101817551.0,69336187.0,61299009.0,130635196.0,-8037178.0,172851573.0,139911330.0,312762903.0,-32940243.0,66484319.0,57120931.0,123605250.0,-9363388.0,24421143.0,46136711.0,70557854.0,21715568.0,12332578.0,9073587.0,21406165.0,-3258991.0,14570621.0,4870555.0,19441176.0,-9700066.0,187257170.0,140974428.0,328231598.0,-46282742.0,6116429.0,8274139.0,14390568.0,2157710.0
2022-01-07,2021-12-27,2021-12-30,TSEMothers,20694901.0,18495269.0,39190170.0,-2199632.0,685621305.0,688638755.0,1374260060.0,3017450.0,706316206.0,707134024.0,1413450230.0,817818.0,440265439.0,444688185.0,884953624.0,4422746.0,216922446.0,213519833.0,430442279.0,-3402613.0,10562700.0,11436813.0,21999513.0,874113.0,2442640.0,5417002.0,7859642.0,2974362.0,6564826.0,6512512.0,13077338.0,-52314.0,5250183.0,2331803.0,7581986.0,-2918380.0,73442.0,100067.0,173509.0,26625.0,260395.0,28544.0,288939.0,-231851.0,3207700.0,4496970.0,7704670.0,1289270.0,71534.0,107026.0,178560.0,35492.0
