Date,Code,WholeDayOpen,WholeDayHigh,WholeDayLow,WholeDayClose,NightSessionOpen,NightSessionHigh,NightSessionLow,NightSessionClose,DaySessionOpen,DaySessionHigh,DaySessionLow,DaySessionClose,Volume,OpenInterest,TurnoverValue,ContractMonth,StrikePrice,Volume(OnlyAuction),EmergencyMarginTriggerDivision,PutCallDivision,LastTradingDay,SpecialQuotationDay,SettlementPrice,TheoreticalPrice,BaseVolatility,UnderlyingPrice,ImpliedVolatility,InterestRate
2022-01-04,130064718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-06,24750.0,0.0,002,1,2025-06-12,2025-06-13,2775.0,2615.3201,14.70365,29301.79,21.3081,0.1564
2022-01-04,130065018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-06,25000.0,0.0,002,1,2025-06-12,2025-06-13,2875.0,2711.6795,14.70365,29301.79,21.2169,0.1564
2022-01-04,130065218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-06,25250.0,0.0,002,1,2025-06-12,2025-06-13,2980.0,2810.5089,14.70365,29301.79,21.1412,0.1564
2022-01-04,130065518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-06,25500.0,0.0,002,1,2025-06-12,2025-06-13,3085.0,2911.8688,14.70365,29301.79,21.0538,0.1564
2022-01-04,130065718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-06,25750.0,0.0,002,1,2025-06-12,2025-06-13,3195.0,3015.7633,14.70365,29301.79,20.9814,0.1564
2022-01-04,130066018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-06,26000.0,0.0,002,1,2025-06-12,2025-06-13,3305.0,3122.3648,14.70365,29301.79,20.8974,0.1564
2022-01-04,130066218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-06,26250.0,0.0,002,1,2025-06-12,2025-06-13,3420.0,3231.3873,14.70365,29301.79,20.8281,0.1564
2022-01-04,130066518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-06,26500.0,0.0,002,1,2025-06-12,2025-06-13,3535.0,3343.1539,14.70365,29301.79,20.7474,0.1564
2022-01-04,130066718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-06,26750.0,0.0,002,1,2025-06-12,2025-06-13,3655.0,3457.5457,14.70365,29301.79,20.6811,0.1564
2022-01-04,130067018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-06,27000.0,0.0,002,1,2025-06-12,2025-06-13,3775.0,3574.3781,14.70365,29301.79,20.6034,0.1564
