Code,DerivativesProductCategory,UnderlyingSSO,Date,WholeDayOpen,WholeDayHigh,WholeDayLow,WholeDayClose,MorningSessionOpen,MorningSessionHigh,MorningSessionLow,MorningSessionClose,NightSessionOpen,NightSessionHigh,NightSessionLow,NightSessionClose,DaySessionOpen,DaySessionHigh,DaySessionLow,DaySessionClose,Volume,OpenInterest,TurnoverValue,ContractMonth,StrikePrice,Volume(OnlyAuction),EmergencyMarginTriggerDivision,PutCallDivision,LastTradingDay,SpecialQuotationDay,SettlementPrice,TheoreticalPrice,BaseVolatility,UnderlyingPrice,ImpliedVolatility,InterestRate,CentralContractMonthFlag
138237826,NK225MWE,-,2023-05-29,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-23,27875.0,0.0,002,1,2023-06-08,2023-06-09,11.0,12.7543,16.8667,31233.54,31.4892,-0.07,1
148230226,NK225MWE,-,2023-05-29,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-23,30250.0,0.0,002,2,2023-06-08,2023-06-09,1135.0,1079.1664,16.8667,31233.54,23.3093,-0.07,1
138238826,NK225MWE,-,2023-05-29,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-23,28875.0,0.0,002,1,2023-06-08,2023-06-09,18.0,23.5737,16.8667,31233.54,24.95,-0.07,1
138231126,NK225MWE,-,2023-05-29,320.0,320.0,315.0,315.0,,,,,,,,,320.0,320.0,315.0,315.0,102.0,2.0,3214000.0,2023-23,31125.0,102.0,002,1,2023-06-08,2023-06-09,305.0,315.9711,16.8667,31233.54,16.5028,-0.07,1
148230326,NK225MWE,-,2023-05-29,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-23,30375.0,0.0,002,2,2023-06-08,2023-06-09,1035.0,972.9947,16.8667,31233.54,23.04,-0.07,1
138231026,NK225MWE,-,2023-05-29,210.0,290.0,210.0,255.0,,,,,,,,,210.0,290.0,210.0,255.0,850.0,17.0,20179500.0,2023-23,31000.0,850.0,002,1,2023-06-08,2023-06-09,255.0,254.9994,16.8667,31233.54,16.6825,-0.07,1
138232326,NK225MWE,-,2023-05-29,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-23,32375.0,0.0,002,1,2023-06-08,2023-06-09,1145.0,1207.7239,16.8667,31233.54,9.5609,-0.07,1
138233526,NK225MWE,-,2023-05-29,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-23,33500.0,0.0,002,1,2023-06-08,2023-06-09,2210.0,2278.1065,16.8667,31233.54,1.0,-0.07,1
138232126,NK225MWE,-,2023-05-29,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-23,32125.0,0.0,002,1,2023-06-08,2023-06-09,935.0,991.3861,16.8667,31233.54,13.6268,-0.07,1
138239826,NK225MWE,-,2023-05-29,41.0,59.0,41.0,59.0,,,,,,,,,41.0,59.0,41.0,59.0,241.0,61.0,1205800.0,2023-23,29875.0,241.0,002,1,2023-06-08,2023-06-09,53.0,55.1859,16.8667,31233.54,20.2813,-0.07,1
138232226,NK225MWE,-,2023-05-29,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-23,32250.0,0.0,002,1,2023-06-08,2023-06-09,1040.0,1097.4693,16.8667,31233.54,12.7107,-0.07,1
148230526,NK225MWE,-,2023-05-29,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-23,30500.0,0.0,002,2,2023-06-08,2023-06-09,910.0,854.6962,16.8667,31233.54,21.1546,-0.07,1
138238026,NK225MWE,-,2023-05-29,17.0,17.0,10.0,14.0,,,,,,,,,17.0,17.0,10.0,14.0,6.0,3.0,9000.0,2023-23,28000.0,6.0,002,1,2023-06-08,2023-06-09,11.0,12.3032,16.8667,31233.54,30.4223,-0.07,1
